Benchmark,Thread,Speedup
parsec-blackscholes,1,1.0
parsec-blackscholes,2,1.784
parsec-blackscholes,4,2.948
parsec-blackscholes,8,3.866
parsec-canneal,1,1.0
parsec-canneal,2,1.731
parsec-canneal,4,2.718
parsec-canneal,8,3.273
parsec-dedup,1,1.0
parsec-dedup,2,1.85
parsec-dedup,4,2.748
parsec-dedup,8,3.204
parsec-ferret,1,1.0
parsec-ferret,2,1.951
parsec-ferret,4,3.538
parsec-ferret,8,4.08
parsec-freqmine,1,1.0
parsec-freqmine,2,1.992
parsec-freqmine,4,3.649
parsec-freqmine,8,4.808
parsec-radix,1,1.0
parsec-radix,2,1.969
parsec-radix,4,3.881
parsec-radix,8,5.907
parsec-vips,1,1.0
parsec-vips,2,1.973
parsec-vips,4,3.861
parsec-vips,8,4.092
